Subject Catalog Nbr 	Title	Instructors  	Term 	Term Code 	Cross- listed	A+	A	A-	B+	B	B-	C+	C	C-	D+	D	D-	F	P	NP	S	U	I	W	-	Total
BIOE 107	Ecology	Laurel R Fox	2023 Fall Quarter	2238	N	7	6	11	4	37	9	15	14					4	1					2		110
BIOE 109	Evolution	Giacomo Bernardi	2023 Fall Quarter	2238	N	16	15	6	11	17	6	7	8					4	2	1						93
BIOE 112	Ornithology	Bruce E Lyon	2023 Fall Quarter	2238	N	2	3	3	2	6		1							2					2		21
BIOE 112L	Ornithology Field	Bruce E Lyon	2023 Fall Quarter	2238	N	4	6	4		3									2					2		21
BIOE 124	Mammalogy	Gizelle M Hurtado	2023 Fall Quarter	2238	N	12	6	6		1	2															27
BIOE 124L	Mammalogy Lab	Gizelle M Hurtado	2023 Fall Quarter	2238	N	19		1	1	4	2															27
BIOE 125	Ecosystems of Calif	Erika S Zavaleta	2023 Fall Quarter	2238	Y	3	7	14	8	19	7	2	6	1		2		2	1	1				2		75
BIOE 126	Biol Large Marine Vert	Roxanne Santina Beltran	2023 Fall Quarter	2238	N	9	28	9	6	9	3	2	1					2		1						70
BIOE 127	Ichthyology	Giacomo Bernardi	2023 Fall Quarter	2238	N	4	7	2	16	21	24	13	21			1		1		1				1		112
BIOE 127L	Ichthyology Lab	Giacomo Bernardi	2023 Fall Quarter	2238	N	9	10	5	5	1		1	1													32
BIOE 127L	Ichthyology Lab	Giacomo Bernardi	2023 Fall Quarter	2238	N	12	5	2	2	2	1		1					1								26
BIOE 127L	Ichthyology Lab	Giacomo Bernardi	2023 Fall Quarter	2238	N	18	5	1		1								1						1		27
BIOE 127L	Ichthyology Lab	Giacomo Bernardi	2023 Fall Quarter	2238	N	19	1	2	1		1	1						1								26
BIOE 135	Plant Physiology	Jarmila Pittermann	2023 Fall Quarter	2238	N	7	9	6	4	5	5	5	3	1		2			2							49
